CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA;DT_INI_EXERC
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.01.01;Títulos para Negociação;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.01.01;Títulos para Negociação;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.01.02;Títulos Disponíveis para Venda;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.01.02;Títulos Disponíveis para Venda;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.02;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.02;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.02.01;Títulos Mantidos até o Vencimento;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.02.01;Títulos Mantidos até o Vencimento;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.03;Contas a Receber;4173.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.03;Contas a Receber;3224.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.03.01;Clientes;4173.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.03.01;Clientes;3224.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.03.02;Outras Contas a Receber;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.03.02;Outras Contas a Receber;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.04;Estoques;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.04;Estoques;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.05;Ativos Biológicos;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.05;Ativos Biológicos;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.06;Tributos Diferidos;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.06;Tributos Diferidos;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.06.01;Imposto de Renda e Contribuição Social Diferidos;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.06.01;Imposto de Renda e Contribuição Social Diferidos;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.07;Despesas Antecipadas;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.07;Despesas Antecipadas;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.08;Créditos com Partes Relacionadas;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.08;Créditos com Partes Relacionadas;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.08.01;Créditos com Coligadas;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.08.01;Créditos com Coligadas;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.08.03;Créditos com Controladores;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.08.03;Créditos com Controladores;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.08.04;Créditos com Outras Partes Relacionadas;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.08.04;Créditos com Outras Partes Relacionadas;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.09;Outros Ativos Não Circulantes;118032.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.09;Outros Ativos Não Circulantes;117481.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.09.01;Ativos Não-Correntes a Venda;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.09.01;Ativos Não-Correntes a Venda;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.09.02;Ativos de Operações Descontinuadas;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.09.02;Ativos de Operações Descontinuadas;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.09.03;Outros Ativos;6017.0000000000;N;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.09.03;Outros Ativos;5466.0000000000;N;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.01.09.05;Ativos Indenizatórios;112015.0000000000;N;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.01.09.05;Ativos Indenizatórios;112015.0000000000;N;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.02;Investimentos;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.02;Investimentos;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.02.01;Participações Societárias;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.02.01;Participações Societárias;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.02.01.01;Participações em Coligadas;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.02.01.01;Participações em Coligadas;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.02.01.04;Outras Participações Societárias;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.02.01.04;Outras Participações Societárias;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.02.02;Propriedades para Investimento;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.02.02;Propriedades para Investimento;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.03;Imobilizado;525787.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.03;Imobilizado;603619.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.03.01;Imobilizado em Operação;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.03.01;Imobilizado em Operação;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.03.02;Imobilizado Arrendado;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.03.02;Imobilizado Arrendado;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.03.03;Imobilizado em Andamento;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.03.03;Imobilizado em Andamento;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.04;Intangível;241815.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.04;Intangível;406025.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.04.01;Intangíveis;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.04.01;Intangíveis;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.04.01.01;Contrato de Concessão;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.04.01.01;Contrato de Concessão;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.02.04.02;Goodwill;0.0000000000;S;
04.986.320/0001-13;2015-06-30;1;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-06-30;1.02.04.02;Goodwill;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1;Ativo Total;1249163.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1;Ativo Total;1843160.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01;Ativo Circulante;359356.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01;Ativo Circulante;702275.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.01;Caixa e Equivalentes de Caixa;73248.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.01;Caixa e Equivalentes de Caixa;82824.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.02;Aplicações Financeiras;63418.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.02;Aplicações Financeiras;256897.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo;63418.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo;256897.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.02.01.01;Títulos para Negociação;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.02.01.01;Títulos para Negociação;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.02.01.02;Títulos Disponíveis para Venda;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.02.01.02;Títulos Disponíveis para Venda;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.02.01.03;Titulos e Valores Mobiliários;63418.0000000000;N;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.02.01.03;Titulos e Valores Mobiliários;256897.0000000000;N;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.02.02;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.02.02;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.02.02.01;Títulos Mantidos até o Vencimento;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.02.02.01;Títulos Mantidos até o Vencimento;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.03;Contas a Receber;201321.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.03;Contas a Receber;347646.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.03.01;Clientes;201321.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.03.01;Clientes;347646.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.03.02;Outras Contas a Receber;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.03.02;Outras Contas a Receber;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.04;Estoques;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.04;Estoques;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.05;Ativos Biológicos;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.05;Ativos Biológicos;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.06;Tributos a Recuperar;3289.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.06;Tributos a Recuperar;2229.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.06.01;Tributos Correntes a Recuperar;3289.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.06.01;Tributos Correntes a Recuperar;2229.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.07;Despesas Antecipadas;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.07;Despesas Antecipadas;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.08;Outros Ativos Circulantes;18080.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.08;Outros Ativos Circulantes;12679.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.08.03;Outros;18080.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.08.03;Outros;12679.0000000000;S;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.08.03.01;Adiantamentos a Fornecedores;9066.0000000000;N;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.08.03.01;Adiantamentos a Fornecedores;4125.0000000000;N;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.08.03.02;Partes Relacionadas;0.0000000000;N;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.08.03.02;Partes Relacionadas;0.0000000000;N;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2014-12-31;1.01.08.03.03;Outros Ativos;9014.0000000000;N;
04.986.320/0001-13;2015-09-30;4;SER EDUCACIONAL S.A.;023221;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2015-09-30;1.01.08.03.03;Outros Ativos;8554.0000000000;N;
